Producer,27268,105494300
Consumer,23658,300
Producer,17923,105570300
Consumer,59887,500
Producer,70750,105751800
Consumer,30361,164800
Producer,99586,105859300
Consumer,75877,396800
Consumer,77221,510000
Producer,94769,106032100
Producer,30728,106072600
Consumer,46423,1300
Producer,78727,106475200
Consumer,59953,700
Consumer,29648,600
Consumer,7366,800
Producer,41356,106685100
Consumer,85060,600
Producer,21281,106800300
Consumer,19567,473800
Producer,40697,106806400
Consumer,23741,900
Producer,15925,106906800
Producer,1278,106937700
Producer,59557,106864600
Consumer,77492,333400
Producer,74742,106903700
Consumer,90630,306000
Producer,13828,106860400
Producer,45841,106898800
Consumer,57485,676800
Producer,4373,106965500
Producer,84044,106949000
Consumer,91763,1180200
Producer,32507,106892800
Consumer,7403,271700
Producer,7548,106932900
Consumer,27438,279200
Producer,41298,106951100
Consumer,9102,274700
Producer,58811,106995200
Consumer,54727,576100
Producer,57013,106821000
Consumer,65392,550500
Producer,91692,106786400
Consumer,58534,700
Producer,65428,106739400
Consumer,97018,800
Producer,51994,107273500
Consumer,49714,700
Producer,67231,107225500
Producer,61417,107229400
Consumer,95801,400
Producer,38594,107231800
Consumer,20982,600
Producer,81927,107238500
Consumer,23216,900
Consumer,21732,600
Producer,41947,107699300
Consumer,80896,800
Producer,87131,107700000
Consumer,37528,500
Producer,41965,107652400
Consumer,3000,500
Consumer,1575,700
Consumer,46842,400
Producer,19925,107775400
Consumer,96334,700
Producer,75930,107872400
Consumer,54660,500
Consumer,12158,800
Producer,93302,107923400
Consumer,22055,400
Consumer,36792,500
Producer,63035,108064600
Consumer,17827,500
Producer,42409,108176500
Consumer,90054,700
Producer,60039,108248400
Consumer,92445,900
Producer,60779,108186200
Consumer,1501,500
Producer,41287,108087800
Consumer,32900,600
Producer,28781,108092700
Consumer,91330,600
Producer,98671,108297000
Consumer,3887,700
Consumer,43847,600
Producer,45982,108455800
Consumer,6868,700
Consumer,22704,800
Consumer,76437,800
Consumer,33396,600
Producer,85159,108677200
Consumer,68404,700
Producer,16080,108701400
Producer,16314,108693800
Producer,59674,108673200
Consumer,83666,1100
Producer,79315,109079300
Consumer,16042,1900
Producer,64497,109271300
Consumer,70177,600
Producer,35525,109291700
Consumer,94120,800
Consumer,50580,600
Producer,7487,109093300
Producer,77240,109076600
Producer,92467,109057500
Consumer,27540,600
Consumer,65883,700
Producer,92366,108909600
Consumer,69993,600
Producer,31969,108946700
Consumer,7353,300
Consumer,3975,600
Consumer,75115,500
Producer,86912,108949500
Producer,39243,108759600
Consumer,37249,500
Consumer,28885,700
Consumer,91530,500
Producer,92117,108726800
Producer,11665,108651200
Producer,28303,108547600
Consumer,63039,900
Producer,85024,108875800
Consumer,60331,1500
Consumer,53314,800
Producer,98051,109131500
Consumer,6845,800
Consumer,77149,600
Producer,66560,109074900
Consumer,46131,600
Producer,82776,109014700
Consumer,37002,500
Consumer,14046,700
Consumer,50314,400
Producer,91794,109353800
Consumer,38243,500
Consumer,72181,900
Producer,89112,109454400
Consumer,52507,600
Producer,91202,109408600
Consumer,99892,600
Producer,31749,109414600
Producer,56407,109303600
Consumer,7797,500
Producer,18533,109206100
Consumer,61422,500
Consumer,43171,700
Producer,86932,109197100
Consumer,3385,800
Producer,7144,109188200
Consumer,63265,700
Consumer,85302,500
Producer,79207,109204900
Producer,54741,109156100
Consumer,91223,500
Consumer,25005,500
Producer,92843,109266300
Consumer,5678,900
Consumer,70086,1300
Consumer,45938,700
Producer,70988,109612400
Producer,24799,109529900
Consumer,39450,600
Producer,88344,109505200
Producer,21464,109251100
Consumer,62796,600
Consumer,60798,600
Producer,72857,109369200
Producer,19654,109307200
Consumer,74753,500
Producer,44553,109206900
Consumer,49311,2000
Producer,89610,109598200
Consumer,46023,11300
Consumer,31650,300
Consumer,57905,400
Consumer,20744,400
Producer,53464,109612200
Producer,42324,109395300
Producer,49098,109390900
Consumer,87264,1400
Producer,97480,109448400
Consumer,20671,300
Consumer,12438,300
Consumer,68391,300
Producer,85471,109712600
Consumer,29398,200
Producer,1132,109754300
Producer,57496,109691100
Consumer,58198,300
Producer,49746,109709500
Consumer,9923,400
Consumer,5019,500
Consumer,63682,300
Producer,68464,109802100
Consumer,69998,200
Producer,61547,109824000
Consumer,60949,200
Producer,72483,109859400
Consumer,33908,400
Producer,31294,109821600
Producer,24044,109803600
Consumer,30155,300
Consumer,74913,300
Producer,80829,109986500
Consumer,1256,600
Consumer,2788,200
Consumer,22990,300
Consumer,64207,400
Producer,42487,110522700
Consumer,29307,400
Producer,47181,110517200
Consumer,56941,300
Consumer,71743,400
Producer,69109,110547100
Producer,31077,110532500
Consumer,45223,200
Producer,55194,110342700
Consumer,13181,300
Producer,11532,110277700
Producer,80670,110153400
Consumer,26061,300
Consumer,1573,300
Consumer,55470,200
Producer,43476,110690500
Producer,14611,110579300
Producer,23271,110557700
Producer,3903,110448600
Consumer,5849,500
Consumer,54581,200
Consumer,10780,300
Consumer,4939,200
Consumer,82217,200
Producer,86304,110576800
Producer,17427,110509900
Consumer,38367,4000
Consumer,42349,400
Producer,97976,110565000
Consumer,84215,300
Producer,96653,110525800
Consumer,38757,200
Consumer,62064,100
Producer,97211,110558000
Producer,25080,110536700
Consumer,67750,200
Producer,34573,110532200
Consumer,83892,400
Producer,48248,110587100
Consumer,77117,500
Producer,26264,110503300
Producer,61594,110487500
Consumer,40814,200
Producer,83220,110599800
Consumer,45805,300
Producer,58201,110596000
Producer,10461,110537600
Consumer,6776,200
Consumer,26795,500
Consumer,57700,200
Producer,54102,110760800
Consumer,67239,300
Producer,46435,110787100
Producer,11301,110713600
Consumer,18603,400
Consumer,48765,500
Producer,92667,110687100
Consumer,53956,500
Consumer,46394,300
Producer,72880,110666100
Consumer,75199,400
Producer,89378,110650500
Consumer,1907,200
Consumer,72870,400
Producer,39549,110947700
Producer,18361,110917500
Consumer,75577,500
Producer,20798,110860600
Producer,57155,110831600
Consumer,84483,400
Producer,18573,110737000
Producer,92092,110480500
Consumer,47128,300
Producer,68299,110480600
Consumer,80235,300
Consumer,14660,300
Producer,97134,110451000
Consumer,10220,200
Consumer,10299,300
Producer,6376,110457600
Consumer,84351,200
Producer,52230,110528800
Producer,29300,110458100
Consumer,48796,500
Producer,62472,110460300
Consumer,1086,300
Consumer,24385,2900
Consumer,56754,200
Consumer,10494,200
